skill,resume_count
sales,1311
leadership,1028
customer_service,990
excel,959
ms_office,906
marketing,875
powerpoint,660
communication,625
auditing,582
accounting,559
project_management,557
payroll,441
recruitment,354
budgeting,338
negotiation,306
social_media,293
adobe,256
taxation,243
forecasting,234
photoshop,208
sql,191
sap,189
quickbooks,165
html,152
data_analysis,144
illustrator,131
nursing,129
crm,122
linux,117
autocad,104
salesforce,99
financial_analysis,96
patient_care,94
agile,77
css,70
onboarding,68
java,67
seo,66
c++,65
javascript,65
sql_server,55
.net,49
php,41
python,40
c#,38
matlab,35
solidworks,32
sas,29
tableau,26
vba,23
aws,23
git,18
machine_learning,14
perl,13
azure,11
spark,11
jenkins,10
data_science,7
pandas,5
ruby,4
r_language,4
gcp,4
tensorflow,3
power_bi,3
docker,3
hadoop,2
scala,2
nlp,2
deep_learning,1
kubernetes,1
