candidate_id,candidate_role,job_id,job_title,company_name,text_match_pct,skill_overlap_pct,final_match_score,rank,matching_skills,missing_skills,suitability
21856577,banking,3905253160,Assistant Store Manager- TOMMY HILFIGER,Tommy Hilfiger,37.7,100.0,56.4,1,communication|customer_service|leadership|marketing|recruitment|sales,,Highly Suitable
28989677,banking,3894290208,Junior KYC / AML Analyst,ApTask,33.0,100.0,53.1,1,ms_office,,Highly Suitable
21338490,accountant,3889771110,Staff Accountant,Segrera Associates,32.1,100.0,52.5,1,accounting|excel,,Highly Suitable
23387174,accountant,3902343958,Senior Accountant,Paradigm,31.3,100.0,51.9,1,accounting|communication|excel,,Highly Suitable
43311839,consultant,3903456856,.Net Full Stack Engineers,Concept Software & Services INC,31.1,100.0,51.8,1,.net|agile|c#|css|git|html|javascript|sql|sql_server,,Highly Suitable
29775391,chef,3906249706,Sous Chef,CareOne,31.1,100.0,51.8,1,communication|customer_service|leadership,,Highly Suitable
26046064,designer,3894278962,Junior Graphic Designer,,31.0,100.0,51.7,1,adobe|css|html|illustrator|marketing|photoshop|social_media,,Highly Suitable
18825446,chef,3906249706,Sous Chef,CareOne,30.6,100.0,51.4,1,communication|customer_service|leadership,,Highly Suitable
18586076,arts,3905351461,Creative Arts Therapist,"Creative Art Therapy Place, PLLC",30.4,100.0,51.3,1,communication,,Highly Suitable
14491649,accountant,3889771110,Staff Accountant,Segrera Associates,29.9,100.0,51.0,1,accounting|excel,,Highly Suitable
12059610,apparel,3904422593,Cleaner,ABM Industries,29.5,100.0,50.7,1,customer_service,,Highly Suitable
20628003,digital_media,3901977993,Specialist,Funnel Boost Media,29.6,100.0,50.7,1,marketing|seo|social_media,,Highly Suitable
15353911,digital_media,3901394472,Animation Interns,,29.5,100.0,50.6,1,adobe|illustrator|photoshop,,Highly Suitable
20604208,advocate,3905336303,Case Manager,Refuge House Inc,29.4,100.0,50.6,1,ms_office,,Highly Suitable
14569498,chef,3900946049,Executive Sous Chef,"Mawa's Kitchen, Aspen",29.3,100.0,50.5,1,communication,,Highly Suitable
23918545,healthcare,3904998357,Medical Biller,A Step Above Health Management Systems,29.2,100.0,50.4,1,auditing|communication,,Highly Suitable
86551046,chef,3903445349,Sous Chef,Brennan's Restaurant,29.1,100.0,50.4,1,leadership,,Highly Suitable
49204385,accountant,3886894439,Senior Staff Accountant,Tandym Group,29.1,100.0,50.3,1,accounting|auditing|excel|sales|taxation,,Highly Suitable
83816738,information_technology,3902355145,java fullstack developer,"Zodiac Solutions, Inc",36.1,83.3,50.3,1,css|html|java|javascript|sql,azure,Highly Suitable
54421668,banking,3902783910,"Teller Supervisor - Gary Ave Branch - Carol Stream, IL",Old Second National Bank,28.9,100.0,50.2,1,auditing|customer_service|leadership|sales,,Highly Suitable
37333719,advocate,3905336303,Case Manager,Refuge House Inc,28.9,100.0,50.2,1,ms_office,,Highly Suitable
25867805,accountant,3889771110,Staff Accountant,Segrera Associates,28.7,100.0,50.1,1,accounting|excel,,Highly Suitable
28772892,teacher,3898178380,Education Specialist,Education for Change Public Schools,28.7,100.0,50.1,1,communication,,Highly Suitable
11842274,public_relations,3886831014,Bartender,Ruffino's on the River,28.6,100.0,50.0,1,communication|customer_service,,Highly Suitable
30304575,accountant,3904392131,Staff Accountant,"StaffWorks, LLC",28.4,100.0,49.9,1,accounting|auditing|sales|taxation,,Highly Suitable
24508725,hr,3904712803,Assistant Manager Facility Operations 1,FedEx Ground,28.3,100.0,49.8,1,auditing|communication|leadership|ms_office,,Highly Suitable
68338341,chef,3902355609,Assistant Kitchen Manager,Chicken N Pickle,28.2,100.0,49.8,1,communication|sales,,Highly Suitable
29050809,accountant,3901951194,Staff Accountant,LHH,28.2,100.0,49.8,1,accounting|auditing,,Highly Suitable
12717345,chef,3901981870,Executive Sous Chef,,28.1,100.0,49.7,1,communication|leadership,,Highly Suitable
20321582,chef,3884437291,Executive Chef,Pinheads,28.2,100.0,49.7,1,leadership,,Highly Suitable
14248724,arts,3901156786,Dental Hygienist - Love Where You Work!,Shine Dental MT,28.0,100.0,49.6,1,patient_care,,Highly Suitable
37997506,accountant,3905230703,Grant Accountant,Sojourner House,28.0,100.0,49.6,1,accounting|auditing|budgeting|excel|quickbooks,,Highly Suitable
78229715,finance,3902343958,Senior Accountant,Paradigm,27.8,100.0,49.5,1,accounting|communication|excel,,Highly Suitable
16210888,teacher,3901941501,"2024-2025 READ BY GRADE 3 (RBG3) LEARNING STRATEGIST - WENGERT, CYRIL ES",Clark County School District,27.8,100.0,49.5,1,leadership,,Highly Suitable
16962067,arts,3898178380,Education Specialist,Education for Change Public Schools,27.8,100.0,49.5,1,communication,,Highly Suitable
36206485,teacher,3888951355,Teacher Elementary - Grade 3,Gwinnett County Public Schools,27.7,100.0,49.4,1,communication,,Highly Suitable
65373280,chef,3906249706,Sous Chef,CareOne,27.7,100.0,49.4,1,communication|customer_service|leadership,,Highly Suitable
29574501,construction,3894996733,Accounting Specialist,Robert Half,27.7,100.0,49.4,1,accounting|quickbooks|sales|taxation,,Highly Suitable
24670867,finance,3906222728,Staff Accountant,Miramont Behavioral Health,27.7,100.0,49.4,1,accounting|taxation,,Highly Suitable
