company_id,employee_count_latest,follower_count_latest
878353,52,26397
34771607,3,181
947812,102,2831
6618000,11,7478
34214892,79,828
33671,4668,84754
11676886,0,7
7164053,108,2036
349088,744,10689
3556531,64,1781
90869,17,9909
7790573,16,233
99410085,0,53
261933,205,49801
36226,163,3217
1054905,1999,31330
18939015,0,927
1705516,101,4989
33279976,5,18278
3345041,37,23212
27021761,7,6075
5304844,65,2832
63155,600,1898
15457223,50,2681
397597,119,12208
5117988,3,918
53255,105,71020
77912635,10,1189
1381506,449,30648
16169840,48,60895
35123,1053,11589
1404653,173,2487
6522041,19,469
86734830,5,1085
468898,52,23394
3293893,97,3905
1499970,24,97
1552586,144,8554
91371020,2,630
22448914,28,937
100977746,4,679
143796,77,16368
109785,424,23819
9280354,125,16699
56147841,8,5
57301703,138,200
3670040,12,9097
684457,123,102671
19647,399,12089
708917,425,25603
72139474,5,2056
682039,607,17129
82812549,2,685
1364228,78,23452
10572843,6,453
42368,645,8324
886425,599,2445
331482,143,6508
8919656,67,265
26162,119,16787
22355,2345,58037
1284538,41,498
2248728,59,1274
77230639,38,2500
418549,553,2605
16903,3835,235534
35477056,96,7656
6575960,21,82778
333636,41,5592
1394696,77,1379
94176135,11,116
33146581,5,12197
18944507,64,580
11005191,11,485
10146704,875,81517
31474641,29,3054
2837158,23,1377
2070896,208,9607
482272,360,21801
84810235,30,2324
22517,257,1902
272484,26,97
693360,167,10868
74160429,4,911
80936343,2,39
2181040,136,2435
53157,169,3313
66022,1196,29146
15982494,55,1294
148738,92,6359
19150067,92,6440
10205455,8,623
10500730,11,480
3805712,80,1363
52945,3438,42043
2329852,25,373
2107301,57,2551
2551202,170,4635
620188,40,466
488066,1271,22554
3266676,126,937
672814,41,3838
74713745,578,10821
92633414,18,161
121408,29,2182
400176,78,2892
2833399,3,35
36519,42,57834
67289844,5,12216
72460832,6,810
77117,209,17705
74411,191,2868
3272531,214,7383
87089248,13,147
860833,206,1063
69392001,14,953
378223,503,6361
92188790,3,52
1117266,20,1676
1072126,1290,12901
80451189,4,2084
6416768,33,620
511617,63,1083
56466229,805,16448
328568,308,2527
518206,8,18281
86860077,66,3783
4026134,29,445
2096,7461,281828
10013619,146,7906
90985,506,14844
1725692,292,2167
8363,9473,93413
101396860,1,443
28126191,1206,73787
4594437,5,73
3631283,51,1274
163885,1271,27186
311752,91,432
272414,212,11224
1494955,323,23995
89551968,4,618
35585529,1532,27484
73845708,3,1846
22113,192,5304
46201,160,1820
80354,1311,15666
10201130,6,253
81297771,8,8427
74097,167,13264
20507081,654,25882
116025,131,4379
2150532,77,1848
68818843,593,5573
74075477,2,1422
36411,1038,64641
73836834,125,699
3256390,80,9471
7041911,2,24
91423287,3,25
27189203,17,359
619425,81,804
2090,1754,75025
17962594,22,279
15085131,262,13580
31162076,67,10406
2043953,87,52811
100274477,6,985
24157,1294,23485
5348965,148,13663
33338,3906,22119
22134,447,8880
2030200,52,3935
309222,17,22456
82284641,5,67
1996803,314,15989
388449,172,1391
11022780,520,24256
781738,39,16751
349330,434,1817
2160548,74,15022
51584508,10,1269
164590,6395,159773
110859,621,6833
68229923,10,23105
18444862,102,3113
99224110,2,151
28132344,46,962
2061386,2740,15978
74892224,17,39
1040738,25,11325
15695384,5,1199
10080,12650,118602
15876051,70,5518
15505005,135,13853
145785,214,2204
103172637,0,2
2610,10757,162335
10048388,150,11995
2937169,7,4745
77003969,57,350
2614427,55,219
118486,79,1035
98447259,2,2433
8716,1628,48883
1229716,623,36750
3234958,18,6216
78331809,12,184
1861137,255,4323
1596601,152,1793
61811101,74,174
15861467,41,1453
64697406,21,486
150772,74,73212
3071652,69,543
15155562,195,5743
47580,215,4745
305322,45,4699
12699415,2112,80251
65286386,15,7322
444782,1377,5978
389765,498,19526
91120639,113,185
5352221,23,949
13884,4294,29484
996149,113,6266
60437,1298,42221
2628791,11,922
1200322,13,1599
12979710,2,2852
64611,27,7359
63879,40,6089
859069,46,6234
18268450,20,1238
2612425,615,8007
56350634,7,134
5266540,28,1372
99351497,0,8
8653,1861,21460
61984,743,5805
80871784,2,2692
56004080,14,14
89684468,81,20037
2399284,30,5163
13624369,121,6148
2498108,451,40068
59634,2419,105187
9454833,139,8386
213642,1212,53768
948847,163,2724
103114587,0,1
2509347,37,17475
50076,3724,250675
153364,46,26104
9382700,30,2617
63563,25,69864
109285,543,10499
77847,1081,25385
3715179,6,10251
68277835,22,2089
33619,345,12015
3386,4903,284486
25026529,18,396
299305,27,2552
2480456,32,2724
1475190,1454,26881
450312,13,378
101591290,6,213
18058364,339,32064
5340064,599,20701
68160051,3,53
165924,5068,38009
9859,6032,258413
2951516,173,13269
116488,156,2732
8498368,33,57
10364146,82,2558
2143963,100,48674
2564990,75,2231
5399183,171,966
5365891,17,694
1012577,48,1982
6419,26499,480635
3325979,233,19521
68277511,38,24222
99093396,6,106
5884,3353,54612
3043691,4636,270842
11427160,203,1448
95710173,2,4
69891324,54,2850
3593828,12,8448
10376920,32,40
167902,1073,108604
1087151,176,6680
74539755,10,111
2614691,23,1154
10515109,44,5733
10127950,37,811
765008,390,30924
11683433,482,4666
163071,1901,8098
91392159,6,37
35634312,132,2533
29295618,67,2086
816968,353,6268
11246635,80,8206
1393718,29,32469
2260243,115,4339
162301,2323,28292
3719923,25,453
304056,176,4237
945178,1767,162333
718526,125,10714
35452956,182,812
19409,1496,132886
96635463,4,36
101726330,0,14
3283566,56,2439
90912229,22,292
9463631,37,407
906633,26,31238
11779403,233,52666
77158779,32,34877
15357,662,14128
14592418,3380,59436
1682895,2050,21555
35682513,3,2108
92489,365,2714
148877,178,17262
2816718,7,2401
37268,1026,8000
1311272,198,568
27193097,86,7598
1552579,832,20052
1050905,180,4310
87145671,78,1175
75756975,32,767
1154342,2082,47490
84954827,35,4765
33269,2162,26604
1431241,88,13650
35462987,526,36293
932766,2395,9076
3248626,448,27170
66932,26,2549
25877,806,20149
1539,35551,1092057
91369327,5,194
67146614,14,284
33185140,111,9084
35691529,12,51
91449377,3,3385
10464447,70,4497
2978540,47,1709
15080647,116,11442
3715929,4,476
10378739,9,31
101169414,0,5
81560130,9,778
11700629,35,658
93783517,10,18
7803213,24,3966
74899775,250,8705
68304603,34,5810
40598,184,15196
84647,114,2150
279728,31,50174
16181713,132,16529
15400080,29,50
82333881,164,1878
371279,29,5027
584081,124,3221
1828593,37,10193
65633769,679,9267
38104971,14,17047
552958,76,1061
410291,195,6417
3100,34350,1090445
97900,59,2708
786140,12,12692
27148871,91,37289
30409,1218,7856
236502,60,14463
148327,193,27051
2985341,342,3101
2435986,653,7529
162772,479,2795
206944,19,18978
101825647,0,2
2960725,54,353
1715746,1524,111812
604355,138,4350
11335633,900,13415
52136,208,28043
621294,853,45965
14548615,155,3745
2692976,141,4807
1532867,265,2438
19258959,406,35864
288851,3751,196369
2417568,23,597
93595157,10,314
61257,476,8131
60096806,109,520
3603539,220,9012
126085,172,6504
5848,8235,118654
2857693,10,13405
101721663,0,82
95750606,22,8683
5796151,56,2823
5999808,2,3
3090323,265,1113
98814,1215,12262
163901,1476,29640
6389974,367,1740
25370,1196,24731
23743,518,14212
10150946,15,749
18268412,22,1031
420394,61,574
9519,9388,297911
2337869,98,470
26234183,9,3300
10270811,62,2012
458639,253,4819
62537397,141,1147
348976,29,1472
7965434,23,893
579539,184,5711
142130,324,6845
225930,13,719
67537147,18,200
8511,5939,218655
18334573,48,1413
58323255,70,325
98732349,1,166
9398436,2006,146382
3221752,327,4755
5274886,534,29716
3709686,100,2392
16239,5835,36171
3099966,144,1518
27012092,63,563
6654085,777,18811
1511215,179,3107
16063763,41,5442
211380,603,37444
963375,84,2359
76545,1078,4872
79488832,8,7701
73024,272,9735
1776620,19,861
29602,612,82005
18253260,24,681
1594436,399,4295
71578611,20,235
932155,90,2820
1856927,77,4678
729369,14,39948
96952592,6,547
18348748,271,13721
27320,476,9624
1798546,351,11196
1340385,692,5249
27606163,27,15238
89780395,9,13588
18528449,9,214
123361,463,23576
266094,37,15604
101723854,0,8
105309,152,3097
2018147,521,22899
35478397,13,466
78601632,15,5610
2180226,14,467
23063,571,30587
18106243,37,24668
908087,203,6667
11364936,195,1435
70572177,1231,50464
4839544,12,673
69248309,31,14230
100834384,1,1693
28934351,52,1145
66348854,9,461
14594141,50,78831
224173,173,2735
1072533,243,29289
24629,199,547682
20466,226,88844
84994,777,29554
60813588,134,1085
80695222,4,3104
3009236,47,2683
10269477,39,1211
4797977,124,6383
70121,470,8049
7532,890,6596
11140,1362,56053
81899221,12,979
6796686,174,602
28827541,24,2172
695193,659,42933
33218437,190,5906
3958522,87,1107
82863388,763,4775
37516,1284,21827
889902,124,19536
1915627,410,1992
33522126,53,3141
1300194,1336,61339
10638094,9,3666
92576702,3,28
415984,451,16745
15212661,6,3373
37897932,6,1441
10466334,58,3693
76267845,8,2966
92537629,47,13800
62589,936,3886
26083,363,11683
6432276,30,346
79009037,272,4129
11198806,275,3802
1133633,281,1508
56728,154,1364
59424667,5,22
63696,596,17048
62370,1372,8543
103841,37,34237
5579526,7,232
27033415,170,9335
137616,77,1578
117413,556,6862
59803,97,21082
79335544,8,818
10104312,6,112
1027869,29,3982
110815,244,6806
139026,94,11420
2288802,393,38366
16187169,394,29344
31464352,200,16210
57449517,10,63
47153,894,13168
95045440,2,2275
15211132,30,18374
2624,23348,630400
3241161,13,160
401896,432,6449
10159385,19,15011
11268368,77,14403
250820,376,7400
56585682,6,5
605130,134,1730
10754,1880,71833
7131,728,229166
43816,419,8441
3728344,46,5579
37573542,3,3789
18477,178,13609
1360,121,27262
2485931,592,7604
7801411,503,19635
238664,5454,97648
24200,1539,43936
7962292,35,2891
5902134,22,477
99203,525,6978
929276,51,631
164356,4858,233240
80908848,1,269
261749,494,29448
38923,1247,5584
96323086,1,34
2180684,223,5218
86166,605,34914
2334403,18,1085
44113,349,8081
74942623,25,1665
89695645,1,206
68312323,39,800
96090219,5,40
2545750,66,3258
3980,5876,147773
1253709,74,3488
11261,1764,60070
6628798,41,2917
4473754,8,341
581589,83,6614
6382861,10,17994
33300597,80,4075
86424393,16,2700
659472,13,537
2472741,170,4855
71729099,8,9873
10974065,47,9582
65470987,52,11155
14440285,7,224
15228,1581,611041
16208010,6,58
3690240,25,2002
2671560,191,42020
795709,34,2664
164894,471,28484
1086737,78,1983
8149299,16,59
3184635,7,24798
33296963,47,123155
311631,1012,6590
15479786,23,90
28148044,403,4970
385236,6,3129
14409321,17,39713
154417,293,2422
36074330,67,2806
71721166,20,8696
8098422,26,4615
81644223,31,9842
15313,456,18127
95716689,6,98
99767183,0,0
2397917,118,3377
80976980,30,36638
1626786,294,5345
2920057,15,20583
15549066,5,10
72711420,22,1149
285983,475,27175
11791278,910,32525
14133,1740,38821
2825662,7,116
528064,232,13128
83056625,3,38
1810796,1903,47548
9334157,6,3655
9647178,47,3063
15872,599,9551
9294904,64,3814
10156547,59,6649
5432535,17,1358
146019,685,6053
318696,8,26294
18434905,296,18969
36141800,23,1227
54346989,21,3135
398355,33,40326
86635,107,8798
56879034,2,26
736239,201,1185
966006,1380,39018
7943280,11,187
955494,32,9999
2128757,87,3811
3111666,5,184
91364445,13,1443
1503954,268,6249
206121,118,4421
31134,407,30139
205619,27,71543
449325,306,64467
3649864,1185,41720
63928,291,5522
11009583,11,237
22331451,22,246
10674187,16,9550
145829,99,49795
18101101,15,1306
52313115,277,352
11109003,51,7830
68874394,15,56
75023654,15,193
18360844,60,1150
6616944,54,51890
3000028,211,4088
112291,93,4393
3761443,196,3832
598372,24,15774
245310,553,134239
10368171,6,176
975681,62,1727
75038620,10,191
69168603,519,50425
21444,3003,57097
11139291,55,6534
3859,2579,96636
18068718,9,693
19181972,15,23289
604525,212,21225
10838707,30,3911
27249670,12,795
16237742,556,15105
83298100,24,465
2151278,39,61
3858302,355,9454
7934058,9,775
137699,10,1940
16215683,4,10736
85888511,6,603
165735,1623,39122
18274777,4,42
101800470,4,395
11999,2461,119542
27119385,6,5998
6464080,61,2195
33457388,15,43507
69331545,58,5280
5049303,87,3474
3749050,5,542
88812,28,7574
689849,36,43751
46404,169,32490
97433456,1,104
9452485,6,41
42328,1351,23603
5913532,13,10
19933,473,6492
2886123,229,4610
103173682,0,3
104427,136,4627
42311722,4,3037
3524,12164,102831
2128914,167,15609
4802123,26,108
98460039,18,38
640071,103,15438
28120168,40,36638
7761,26964,669842
37524,66,20611
65308803,8,1614
101105,2365,88468
7099708,6,2242
1191778,211,7038
102158851,3,50
6418698,27,2915
62954,74,47417
89815948,11,117
1935855,50,6585
2562534,14,1593
5243742,18,870
20954,3416,20560
86785685,7,1397
6818806,26,5086
15155541,12,271
64709762,173,51344
58930,338,10009
55980,1604,27682
69263847,37,1100
69120857,1,3042
623152,125,41626
427532,176,2881
2085386,53,1828
9266888,245,3853
69526946,1260,59987
48667,434,4009
61874,54,986
1207327,53,23399
15264236,45,1639
5563580,34,1228
670004,30,519
41262,6438,320995
285201,659,15426
701795,149,23665
74985176,4,353
72010704,23,7542
1036595,66,5556
29293182,6,23084
2553549,15,177
10906316,41,189
606495,711,23334
5013435,129,8130
74658,82,39623
2144386,36,793
3742961,19,210
35487538,18,628
89197280,1,111
392790,69,9151
20431,714,43244
3495415,70,354
2138749,12,368
100893335,3,22
29303435,12,312
20372,682,64566
35430327,16,2326
19024588,9,280
3826958,17,3382
721622,233,4977
29119,482,13077
2785182,2456,82528
93400454,0,11
2168076,645,4148
3031332,47,1260
119422,299,3456
83019124,59,2469
163662,2033,88135
10183533,6449,108874
6780652,25,56
103074948,1,1
42757,1669,187162
765920,55,1933
77647196,6,313
3620109,835,19074
10309925,25,489
639860,64,1571
162427,1427,50447
82303896,1,93
840033,21,1824
53198134,41,7618
80064150,24,208
103164815,0,16
2543509,25,784
123034,441,8582
18159779,24,321
68239505,40,16175
5381681,48,600
7929479,2,66
92692997,19,901
15528921,104,1381
1319223,127,7372
55972,737,6319
1309067,48,2259
3653638,77,7144
30135877,1,925
779352,5,3419
40717284,13,7592
40655225,40,4961
31442119,69,2388
5025162,11,8499
35698659,15,2092
74997181,131,3077
2999319,177,3344
74917126,35,171
38117,279,250299
42639,149,4912
10383919,11,181
100755551,0,1396
64685411,15,57
457886,976,35886
10178,2578,47566
2712856,83,1531
13026779,379,11340
2428290,883,25297
42433421,2,409
93071436,1,2
49116047,98,3895
1142201,82,2395
71371792,50,7756
2514336,140,1906
42277153,33,614
25079991,18,1399
810707,441,3704
9917,3793,101803
555777,29,3296
2658755,271,4487
132125,75,17704
17700,1421,80061
6577155,523,7076
93223209,1,517
89719195,21,7958
78061848,35,142
74698256,270,5248
66992,32,18259
101361913,0,22
71411602,4,193
461358,53,5039
102172061,6,378
7599998,1471,34497
42339972,93,5392
101603320,1,795
20663,1511,11039
11813677,79,1169
27001650,13,2642
101705597,3,4
103134782,0,80
5418942,55,717
95071077,201,382
57700013,10,45
20919,245,26229
5348602,21,1046
2612282,127,2916
59659,164,3059
1045781,271,20378
1278574,39,5613
292040,286,2101
2382849,1021,3049
9533368,864,1676
30262,75,10995
1087755,48,164
18723495,38,39882
81696506,3,581
1483514,42,7108
463082,245,2242
3348019,418,4474
9780,1692,42354
1378125,260,3778
2722154,37,268
306072,280,50527
94097638,5,46
88007673,82,88642
80185224,6,3193
3840696,20,193
76662,87,7481
3637765,132,1911
49928,298,12487
10852993,72,16835
2561953,29,3093
6436693,9,158
11031659,26,25195
3963611,38,778
22310699,7,802
1527043,1,977
2095382,7,33
311807,1178,6066
9336927,18,635
37435467,21,1806
33181,1296,51705
75033595,1,200
99168727,5,277
96966067,3,73
79852512,142,2170
97461032,10,14
14505571,39,6896
35666619,145,855
3256409,45,1146
54650708,21,339
81937716,5,56
18998,9660,81908
1242378,202,2926
90782,257,7170
331132,394,15172
102341497,0,39
10094895,58,130
531535,24,12000
90471428,28,1797
7600444,171,859
93320988,5,156
310250,6,2488
25204,2144,40878
3051270,190,27240
6635656,37,55084
17867,1658,13939
45467888,8,27
10173880,861,253986
76140425,9,777
2361831,123,2720
33273334,22,1324
12899171,15,518
2896658,85,25196
4705365,129,1715
126405,50,4111
92583550,1156,8862
42019,1543,26521
17920955,370,18366
101728345,0,2
35678713,153,2232
101737429,0,0
321618,127,2345
200030,2038,84619
10096205,38,537
3200474,1366,110829
17881501,10,803
2043778,36,1090
18344349,23,3123
1910013,99,738
1802856,352,7238
3183646,128,47018
2505701,72,1582
68581794,21,482
18836121,86,3507
2822187,20,14293
102818849,4,55
71067248,140,7965
102621117,0,345
19181511,9,4276
10665641,494,62019
3859106,203,8807
77763351,112,5518
58486,721,6822
66579462,2,1431
10221259,164,4433
91077152,24,409
81517369,1,62
138027,9,1161
10897264,550,13848
77923,325,10497
10117714,78,39179
67224347,15,5102
7601115,35,806
2647561,319,4822
165404,2285,64390
3766977,1,41
18843073,577,14863
2090390,645,1731
3890135,289,4981
67767521,666,5719
5167090,159,23926
13282,542,24726
104499,687,11260
912833,1452,59266
77758478,2,3170
250138,228,13279
2890553,88,1254
81892619,17,139
9400085,67,23883
52768,266,21023
1135292,1765,23912
12672350,4,157
582024,1076,34257
828390,674,4652
7601,29353,1127603
71735214,18,345
89811267,11,193
1776228,156,4132
42887005,83,27427
10498337,58,817
1147291,273,3238
38169213,37,433
10926,1438,42177
10581,2453,28686
76322470,1681,44364
920392,174,11619
11220088,57,1206
76557184,5,14
1068366,57,4907
10417676,120,732
1981970,63,5024
10245,1106,40156
36994,859,44353
78782186,7,551
1571360,84,2641
2666164,171,1960
398252,288,11707
19184070,25,615
82619649,5,14
18409,474,26932
6650518,179,26818
3676172,632,70214
1627062,67,19001
18686842,258,4130
79359327,1,34
284053,5315,164751
8363553,53,219
6591,3789,127678
35659,409,5476
1784305,673,136537
27213203,112,1291
3637901,43,2267
92349,617,9127
301142,220,1786
27236234,210,1222
68639,1712,53498
1741641,909,3049
166939,2327,64715
3374179,179,7654
838155,37,23627
90559706,1,39
7603371,277,7808
122655,49,10904
823412,232,5564
7935210,27,306
2731814,278,12477
28781839,251,13713
15089703,88,337
2430084,278,37096
3880691,261,6927
92636929,1093,12495
19024424,82,724
11276702,16,422
5056417,10,1881
6706504,60,518
15179827,146,7983
3170262,536,2350
80221526,3,282
1348779,28,24433
11418953,9,3353
12680,828,124541
99297447,0,10
79470184,98,883
863009,46,424
16190056,140,1130
221050,15,15945
27964,987,33879
20471014,63,3433
101681555,0,45
