job_id,industry_id,industry_name
3884433248,27,Retail
3884913450,41,Banking
3884913450,45,Investment Banking
3884913450,129,Capital Markets
3884430610,7,Semiconductor Manufacturing
3884431661,91,Consumer Services
3884429730,19,Retail Apparel and Fashion
3884432560,14,Hospitals and Health Care
3884432560,4,Software Development
3884431673,96,IT Services and IT Consulting
3884426997,135,Industrial Machinery Manufacturing
3884912836,27,Retail
3884429847,1999,Education
3884433362,14,Hospitals and Health Care
3884433362,4,Software Development
3884910775,14,Hospitals and Health Care
3887490568,34,Food and Beverage Services
3884912975,57,Oil and Gas
3884912975,63,Farming
3884912975,25,Manufacturing
3884433420,116,"Transportation, Logistics, Supply Chain and Storage"
3884918677,43,Financial Services
3884920828,104,Staffing and Recruiting
3884920734,10,Legal Services
3884920734,9,Law Practice
3887493761,27,Retail
3887491263,104,Staffing and Recruiting
3884917609,14,Hospitals and Health Care
3884915639,27,Retail
3884923184,10,Legal Services
3884923184,9,Law Practice
3884925873,104,Staffing and Recruiting
3887495728,124,Wellness and Fitness Services
3887495728,14,Hospitals and Health Care
3887495728,13,Medical Practices
3884440220,14,Hospitals and Health Care
3884430835,104,Staffing and Recruiting
3884926003,48,Construction
3887483549,53,Motor Vehicle Manufacturing
3887483549,24,Computers and Electronics Manufacturing
3887483549,112,"Appliances, Electrical, and Electronics Manufacturing"
3884440450,31,Hospitality
3884435837,2194,Hotels and Motels
3884929144,10,Legal Services
3884929144,9,Law Practice
3884912952,14,Hospitals and Health Care
3884935167,78,Public Safety
3884437440,135,Industrial Machinery Manufacturing
3884442081,48,Construction
3884929810,78,Public Safety
3887715491,32,Restaurants
3884440199,14,Hospitals and Health Care
3884931706,78,Public Safety
3884443053,14,Hospitals and Health Care
3884440738,27,Retail
3884934018,91,Consumer Services
3884927791,91,Consumer Services
3887723184,104,Staffing and Recruiting
3884920204,43,Financial Services
3887712308,48,Construction
3884437429,25,Manufacturing
3884443227,22,Retail Groceries
3884443227,27,Retail
3884443227,34,Food and Beverage Services
3884929758,14,Hospitals and Health Care
3884434907,135,Industrial Machinery Manufacturing
3884923252,10,Legal Services
3884923252,9,Law Practice
3884989877,4,Software Development
3884919513,43,Financial Services
3887712548,32,Restaurants
3884440491,12,Biotechnology Research
3884992266,4,Software Development
3884808299,28,Entertainment Providers
3884991610,4,Software Development
3887842032,104,Staffing and Recruiting
3884992279,96,IT Services and IT Consulting
3884936908,14,Hospitals and Health Care
3887834973,104,Staffing and Recruiting
3887841166,104,Staffing and Recruiting
3884932295,68,Higher Education
