salary_id,job_id,max_salary,med_salary,min_salary,pay_period,currency,compensation_type
9,3884433248,55.0,,50.0,HOURLY,USD,BASE_SALARY
30,3884913450,135000.0,,90000.0,YEARLY,USD,BASE_SALARY
44,3884430610,130000.0,,90000.0,YEARLY,USD,BASE_SALARY
103,3884431661,80000.0,,75000.0,YEARLY,USD,BASE_SALARY
125,3884429730,55.0,,30.0,HOURLY,USD,BASE_SALARY
140,3884432560,70000.0,,55000.0,YEARLY,USD,BASE_SALARY
173,3884431673,25.0,,20.0,HOURLY,USD,BASE_SALARY
174,3884426997,77000.0,,64000.0,YEARLY,USD,BASE_SALARY
177,3884912836,10000.0,,5250.0,MONTHLY,USD,BASE_SALARY
178,3884429847,120000.0,,105000.0,YEARLY,USD,BASE_SALARY
189,3884433362,70000.0,,55000.0,YEARLY,USD,BASE_SALARY
203,3884910775,,15.0,,HOURLY,USD,BASE_SALARY
211,3887490568,48.0,,10.0,HOURLY,USD,BASE_SALARY
220,3884912975,80000.0,,54000.0,YEARLY,USD,BASE_SALARY
225,3884433420,140000.0,,120000.0,YEARLY,USD,BASE_SALARY
247,3884918677,23.0,,20.0,HOURLY,USD,BASE_SALARY
270,3884920828,85000.0,,75000.0,YEARLY,USD,BASE_SALARY
271,3884920734,1500000.0,,350000.0,YEARLY,USD,BASE_SALARY
288,3887493761,25.4,,17.0,HOURLY,USD,BASE_SALARY
305,3887491263,100000.0,,90000.0,YEARLY,USD,BASE_SALARY
309,3884917609,110000.0,,100000.0,YEARLY,USD,BASE_SALARY
313,3884915639,25.0,,18.0,HOURLY,USD,BASE_SALARY
342,3884923184,1500000.0,,350000.0,YEARLY,USD,BASE_SALARY
359,3884925873,130000.0,,110000.0,YEARLY,USD,BASE_SALARY
377,3887495728,44.56,,31.52,HOURLY,USD,BASE_SALARY
401,3884440220,,75.78,,HOURLY,USD,BASE_SALARY
404,3884430835,45.0,,40.0,HOURLY,USD,BASE_SALARY
414,3884926003,120000.0,,90000.0,YEARLY,USD,BASE_SALARY
415,3887483549,100000.0,,70000.0,YEARLY,USD,BASE_SALARY
445,3884440450,125000.0,,100000.0,YEARLY,USD,BASE_SALARY
456,3884435837,26.0,,22.0,HOURLY,USD,BASE_SALARY
472,3884929144,1500000.0,,350000.0,YEARLY,USD,BASE_SALARY
479,3884912952,,10500.0,,YEARLY,USD,BASE_SALARY
483,3884935167,115000.0,,90000.0,YEARLY,USD,BASE_SALARY
495,3884437440,41.05,,19.75,HOURLY,USD,BASE_SALARY
539,3884442081,70.0,,50.0,HOURLY,USD,BASE_SALARY
561,3884929810,150000.0,,90000.0,YEARLY,USD,BASE_SALARY
570,3887715491,,20.0,,HOURLY,USD,BASE_SALARY
576,3884440199,120000.0,,115000.0,YEARLY,USD,BASE_SALARY
579,3884931706,140000.0,,90000.0,YEARLY,USD,BASE_SALARY
593,3884443053,75000.0,,75000.0,YEARLY,USD,BASE_SALARY
636,3884440738,22.5,,15.0,HOURLY,USD,BASE_SALARY
661,3884934018,180000.0,,120000.0,YEARLY,USD,BASE_SALARY
692,3884927791,180000.0,,120000.0,YEARLY,USD,BASE_SALARY
728,3887723184,,100000.0,,YEARLY,USD,BASE_SALARY
729,3884920204,23.0,,20.0,HOURLY,USD,BASE_SALARY
